SENTENCES,subjectivity,objectivity
"We tell them welfare is not a way of life, but we impose no boundaries to back that up.","This sentence expresses an opinion about perceived hypocrisy (""tell them...but...""). The claim that ""we tell them welfare is not a way of life"" is an interpretation of actions/statements, not a verifiable fact. Similarly, ""imposing no boundaries"" is a subjective assessment of policy, not an objective measurement. It reflects the speaker's perspective on a complex situation.","The sentence contains objective information because it describes a perceived contradiction between a stated policy (""welfare is not a way of life"") and the *lack of enforcement mechanisms* to support that policy. While the ""telling"" and the assessment of ""no boundaries"" involve interpretation, the existence of a stated policy and the demonstrable absence of specific, accompanying regulations are verifiable facts."
"I am directing Alaska's Health and Social Services commissioner to work with her counterparts at the departments of Community and Regional Affairs, Labor, Commerce and Revenue to develop an Alaskan Blueprint for Welfare Reform, which provides us long–term solutions to these dilemmas.","This sentence expresses an *intention* and a *promise of future action*, not a verifiable fact. Directives and blueprints are plans, not established realities. Whether the commissioner *will* work with others, or whether the blueprint will provide ""long-term solutions"" are claims about the future, not statements of objective truth.","This sentence contains objective information because it reports a specific action: a directive issued by the speaker to the Alaska's Health and Social Services commissioner and several other departments. This action – the directive itself and the stated collaboration – can be verified by checking official records and confirming the individuals involved and their roles. While the *outcome* of the ""Alaskan Blueprint"" is subjective, the *issuance* of the directive is a verifiable fact."
Public assistance should be a bridge – not a way of life.,"The statement ""Public assistance should be a bridge – not a way of life"" expresses a subjective opinion and desired outcome. It's a value judgment about the purpose of public assistance, not a verifiable fact. ""Should"" indicates a prescriptive statement, reflecting a belief about how things *ought* to be, rather than describing how they *are*.","While metaphorical, the statement ""Public assistance should be a bridge – not a way of life"" contains objective information regarding the speaker's *policy preference* and *intended outcome* for public assistance programs. It expresses a belief that these programs should be temporary and facilitate self-sufficiency, which is a demonstrable position on welfare policy. This preference, while subjective in its value judgment, is a factual statement about the speaker's desired state of affairs."
"And there can't be barriers on the bridge, such as lack of health care.","The sentence ""And there can't be barriers on the bridge, such as lack of health care"" is a metaphorical statement expressing a desired outcome (accessible public assistance) rather than presenting verifiable facts. The ""bridge"" is a symbolic representation, and the assertion about what *can't* be is a subjective value judgment, not an objective truth.","The statement ""And there can't be barriers on the bridge, such as lack of health care"" contains objective information because it references ""lack of health care"" – a quantifiable condition (access to healthcare) that can be assessed and measured. While the metaphor of a ""bridge"" is subjective, the *lack* of healthcare is a demonstrable reality."
"I'd like to commend the work of Senators Jim Duncan and Johnny Ellis, who have been at the forefront of Alaska’s effort to reform its health care system.","This sentence expresses praise and opinion (""I'd like to commend,"" ""at the forefront""). Whether Duncan and Ellis *were* truly ""at the forefront"" is subjective and lacks a verifiable, objective measure. It's a statement of appreciation, not a factual claim.","This sentence contains objective information because it names specific individuals (Senators Jim Duncan and Johnny Ellis) and asserts their involvement in a defined activity (Alaska's healthcare reform effort). This assertion can be verified by checking public records of legislative actions and statements regarding Alaska's healthcare system. While the *commendation* is subjective, the *fact* of their participation is potentially verifiable."
I pledge to work with the Legislature to develop an Alaska solution which reduces costs and expands coverage.,"This sentence lacks objective information because it's a pledge – a promise of future action. Whether the speaker *actually* works with the Legislature, whether costs are reduced, or coverage expands are all unverified claims about future events, not statements of existing fact. It expresses intent, not verifiable information.","The sentence contains objective information because it states a *pledge* – a declared intention to take action. While the *success* of that action (reducing costs and expanding coverage) is not guaranteed and subjective, the *statement* of intent itself is a verifiable fact; it happened. Fact-checkers can confirm whether the speaker subsequently engaged with the Legislature as pledged."
"As we work together for jobs for Alaskans and reform in our welfare system, we must build safer and healthier communities.","This sentence lacks objective information because ""safer and healthier communities"" are subjective value judgments. What constitutes ""safe"" and ""healthy"" varies depending on individual perspectives and lacks a universally agreed-upon, measurable definition. It expresses a desired outcome rather than stating a verifiable fact.","While aspirational, the sentence contains objective information because ""safer and healthier communities"" are measurable conditions. Crime rates (safety) and public health indicators (health) are quantifiable data points that can be assessed, even if the speaker's plan to achieve them is uncertain. Therefore, the statement refers to conditions that exist and can be evaluated."
"All Alaskans are entitled to the basic rights of safe water, safe food and protection from contagious disease.","This statement is not objectively verifiable. While safe water, food, and disease protection are desirable, declaring them ""rights"" is a value judgment, not a factual claim. ""Entitlement"" is a legal and philosophical concept, not a statement of objective reality. Whether these things *should* be considered rights is a matter of opinion and policy, not a fact to be proven.","While framed rhetorically, the statement contains objective information. The concepts of ""safe water,"" ""safe food,"" and ""protection from contagious disease"" are definable and measurable conditions. Legal and ethical frameworks (though not explicitly stated here) *do* recognize access to these as fundamental needs, grounding the statement in a basis of potentially verifiable conditions and rights, even if the *entitlement* is a political claim."
That reminds me of a story from the campaign trail about a first grader in Kotzebue.,"The sentence ""That reminds me of a story from the campaign trail about a first grader in Kotzebue"" is purely subjective and rhetorical. It's a connector phrase designed to segue into an anecdote, offering no verifiable facts itself. It's an opinion about what triggered a memory, not a statement of objective reality.","The sentence ""That reminds me of a story from the campaign trail about a first grader in Kotzebue"" contains objective information because it asserts the existence of a story and locates it geographically (""Kotzebue"") and within the context of a political campaign (""campaign trail""). While the *content* of the story is subjective, the claim of its existence and location is verifiable."
"In no uncertain terms, he informed his parents that he was supporting my opponent in November's election.","This statement is subjective and unverifiable. It reports a child's declaration of political support, which is inherently anecdotal and impossible to objectively confirm. It's a narrative device, not a factual claim.","While anecdotal, the statement ""In no uncertain terms, he informed his parents that he was supporting my opponent in November's election"" contains objective information. It asserts a specific action (a child expressing political support) and a manner of expression (""in no uncertain terms"") which, while subjective in interpretation, *can* be investigated and verified as having occurred, even if the child's reasoning is not factual. The core claim of the interaction itself is potentially verifiable."
"When they inquired why, he had heard that Tony Knowles wanted to put the honey bucket in the museum.","This sentence relays a rumor (""he had heard"") about a candidate's (Tony Knowles) alleged plan (""wanted to put the honey bucket in the museum""). Rumors are inherently subjective and unverifiable; the statement presents hearsay, not a verifiable fact. It's an anecdote used for rhetorical effect, not a presentation of objective information.","This sentence contains potentially verifiable information. While the ""honey bucket"" reference is likely figurative and intended to be humorous, the core claim – that the individual heard Tony Knowles wanted to place something (implied to be a portable toilet) in a museum – *could* be investigated. Fact-checkers could research whether Knowles made such a statement or proposal, even if presented metaphorically. The existence of the NANA museum in Kotzebue is also a readily verifiable fact."
The youngster was offended because the NANA museum in Kotzebue already has a perfectly good bathroom.,"This sentence expresses a subjective emotional reaction (""offended"") and relies on an unverified claim (""he had heard""). While it references a specific location (NANA museum), the core assertion about the child's feeling and the reason for it are presented as hearsay and reflect personal interpretation, not objective fact.","The sentence contains verifiable information. The existence of a bathroom at the NANA museum in Kotzebue is a factual claim that could be confirmed through observation or museum records. While ""perfectly good"" is subjective, the core assertion of a bathroom's presence is objectively checkable."
"Just as that first grader refused to take a step backward, we will not retreat from our commitment to Alaskans that no person should have to physically handle human waste.","This sentence is purely rhetorical. It uses an analogy (""first grader refusing to take a step backward"") to express political resolve, not to convey factual information. The analogy itself is subjective and the commitment it's meant to reinforce (""no person should have to physically handle human waste"") is a value statement, not an objective truth.","While employing a metaphor, the sentence references a concrete, verifiable fact: the NANA museum in Kotzebue possesses a bathroom. This establishes a specific, factual situation used to illustrate a broader point about commitment. The existence of the museum and its bathroom are objectively verifiable."
"Speaking of public health, the recent TB outbreak in rural Alaska illustrates our need to be vigilant in our efforts to detect and treat disease early.","This sentence lacks objective information because it's an interpretation and call to action, not a verifiable fact. While a TB outbreak *may* illustrate a need for vigilance, that's a subjective assessment of the event's significance, not a demonstrable truth. It's an opinion framed as an observation.","The sentence contains objective information because it references a ""recent TB outbreak in rural Alaska."" This can be verified through public health records and news reports, establishing the outbreak as a factual event. While the *interpretation* of the outbreak (""illustrates our need to be vigilant"") is subjective, the existence of the outbreak itself is not."
"Polio, a dreaded disease when I was a child, has been virtually eliminated in America through immunizations.","This sentence blends factual claims with subjective experience, making it not purely objective. While polio's elimination and the role of immunizations are verifiable facts, the phrase ""a dreaded disease when I was a child"" is a personal, subjective recollection and doesn't convey factual information. It's an appeal to emotion rather than a statement of objective reality.","The statement ""Polio, a dreaded disease when I was a child, has been virtually eliminated in America through immunizations"" contains objective information because the elimination of polio in America and the role of immunizations are verifiable facts supported by public health records and scientific consensus, even if the speaker's personal experience (""when I was a child"") is subjective."
"Yet today, only 62 percent of all Alaska children are fully immunized by age 2.","The statement ""Yet today, only 62 percent of all Alaska children are fully immunized by age 2"" presents a statistic that is inherently tied to a specific data collection and reporting methodology. The definition of ""fully immunized,"" the age cutoff (2 years), and the data source itself are all choices that influence the resulting percentage. Without knowing these specifics, the number is not objectively verifiable; it's a measurement dependent on chosen parameters, making it an opinion-adjacent claim rather than a factual one.","The statement ""Yet today, only 62 percent of all Alaska children are fully immunized by age 2"" contains objective information because it presents a quantifiable statistic – the percentage of immunized children – which can be verified through data collection and analysis from health agencies or immunization records. While the ""today"" is time-dependent, the underlying percentage is a measurable fact."
"I ask you to work with me, our communities and our private employers to insure that by the end of next year, at least 90 percent of all our children are fully immunized.","This sentence is a call to action and a stated goal, not a factual claim. It expresses the speaker's desired outcome (""insure...90 percent"") and requests collaboration, which are subjective and dependent on future actions, not verifiable facts.","The sentence contains objective information because it presents a specific, measurable goal: achieving 90% full immunization for Alaska children by a defined timeframe (end of next year). While the *goal* itself is a policy proposal, the *statement* of the current immunization rate (62%) is a claim about a quantifiable statistic that can be verified through data."
Prevention is more successful and cost–effective than treatment.,"The statement ""Prevention is more successful and cost–effective than treatment"" is a subjective claim, not a verifiable fact. ""Successful"" and ""cost-effective"" are value judgments dependent on specific metrics, populations, and treatments being compared – none of which are defined. It's an opinion presented as a universal truth.","The statement ""Prevention is more successful and cost-effective than treatment"" contains objective information because it references established principles in public health and economics. Numerous studies and expert consensus demonstrate that preventative measures often lead to better health outcomes and lower overall costs compared to treating illnesses after they develop. While the *degree* of success and cost-effectiveness can vary, the core assertion aligns with verifiable data and widely accepted practices."
"And as that is true for healthy communities, so it is for making communities safer.","The sentence ""And as that is true for healthy communities, so it is for making communities safer"" is a metaphorical analogy, not a statement of objective fact. It draws a parallel between two complex concepts (""healthy communities"" and ""safer communities"") without defining measurable criteria for either. The connection asserted is subjective and relies on a persuasive rhetorical strategy rather than verifiable data.","The sentence ""And as that is true for healthy communities, so it is for making communities safer"" contains objective information because it draws a parallel between established preventative healthcare strategies (which *are* demonstrably more successful and cost-effective) and crime prevention. While the analogy itself is rhetorical, it references a factual basis – the effectiveness of preventative healthcare – to suggest a similar principle applies to community safety, making it grounded in a verifiable reality."
"Certainly for crime, we must recommit ourselves to the long-term solution of education, family values and job opportunities.","This sentence expresses a subjective opinion and proposed policy direction, not objective fact. ""Must recommit"" indicates a desired action, and ""education, family values, and job opportunities"" are presented as solutions without providing data or evidence to support their effectiveness as crime deterrents. It's a statement of belief, not a verifiable fact.","The sentence contains objective information because it references ""education,"" ""family values,"" and ""job opportunities"" as potential solutions to crime. These are established societal concepts and programs, making their mention a verifiable fact, even if the *effectiveness* of these solutions is debatable. It's a statement about proposed approaches, not a claim of outcome."
But crime also demands a swift and sure response as it happens.,"The statement ""But crime also demands a swift and sure response as it happens"" is a subjective assertion of what *ought* to be done, not a verifiable fact. It expresses an opinion about how crime should be handled, not a statement about crime itself or its causes. The concepts of ""swift"" and ""sure"" are also open to interpretation and lack objective measurement.","The statement ""But crime also demands a swift and sure response as it happens"" contains objective information because it asserts a *demand* – a requirement or necessity – related to a verifiable phenomenon (crime). While the *nature* of the response is subjective, the underlying premise that crime necessitates *some* kind of response is a factual observation about societal expectations and legal systems. It's a statement about how people generally believe crime *should* be handled, which is a demonstrable social reality."
"And crime in Alaska has taken on a new dimension - for the first time, Alaska's Family is afraid of some of its children.","This statement is subjective and lacks objective verifiability. ""Alaska's Family is afraid"" is an emotional assertion, not a quantifiable fact. It expresses a perceived sentiment, not a demonstrable statistic or trend. While crime *may* be a concern, the claim of widespread fear is an interpretation, not an objective observation.","While emotionally charged, the sentence contains potentially verifiable objective information. The claim ""crime in Alaska has taken on a new dimension"" implies a measurable shift in crime trends, and ""Alaska's Family is afraid of some of its children"" suggests a change in public perception/fear, both of which *could* be substantiated through crime statistics, surveys, or reporting on specific incidents. It's a claim about a change, making it testable."
"Alaskans are entitled to live without fear in our homes, on our streets and in our schools.","The statement ""Alaskans are entitled to live without fear in their homes, on our streets and in our schools"" expresses a subjective value judgment about a desirable state of being (feeling safe) rather than presenting verifiable facts. ""Entitlement"" and ""fear"" are inherently subjective experiences, making the statement impossible to objectively confirm or deny.","While the statement expresses a value judgment (""entitled""), the underlying assertion – that Alaskans *experience* fear in their homes, streets, and schools – suggests an observable reality. Fear is a subjective emotion, but its prevalence can be assessed through surveys, crime statistics, and community reports, making the statement potentially verifiable through objective data, even if the ""entitlement"" aspect is normative."
"My crime package has four elements: One, crack down on youth violence.","This sentence lacks objective information because it's a statement of *intent* and a reference to a *proposed plan* (""My crime package""). It doesn't present verifiable facts; it announces a policy direction. The claim about the number of elements (""four"") is also subjective – it's a framing device, not a demonstrable truth.","The sentence ""My crime package has four elements: One, crack down on youth violence"" contains objective information because it asserts a specific, verifiable fact: the speaker's proposed crime package is claimed to have four elements, and the first element is addressing youth violence. While the *content* of the package is subjective, the *existence* of a package with a stated number of elements is a factual claim that can be checked against official documentation or legislative proposals."
"We have laws from the ""Leave It to Beaver"" era for thugs from the ""Terminator"" age.","The sentence ""We have laws from the 'Leave It to Beaver' era for thugs from the 'Terminator' age"" is purely rhetorical and lacks objective information. It uses evocative, metaphorical language (""Leave It to Beaver,"" ""Terminator"") to create a contrast and imply outdated laws are inadequate for modern problems. There's no factual claim about specific laws or their effectiveness; it's a persuasive device, not a statement of fact.","The sentence contains objective information because it references the existence of laws (""We have laws"") and implicitly claims a temporal disconnect between those laws (""Leave It to Beaver"" era - 1950s-60s) and the current context (""Terminator"" age - referencing a more modern, potentially violent era). While the comparison is metaphorical, the claim of existing laws from a specific historical period is a verifiable fact. Fact-checkers could investigate the age and content of relevant laws."
We must give police and prosecutors the tools to attack gangs and youth violence and increase parental accountability.,"This sentence lacks objective information because it expresses a *subjective imperative* (""must"") and proposes actions (""give tools,"" ""increase accountability"") without specifying *how* these actions will be implemented or what constitutes ""attack"" or ""accountability."" It's a call to action based on a perceived problem, not a statement of verifiable fact.","The sentence contains objective information because it proposes a specific policy action – providing ""tools"" to police and prosecutors and increasing ""parental accountability."" While the *nature* of these tools and accountability measures is subjective, the *statement of intent to implement them* is a verifiable action a speaker could take, making it fact-like."
I will deliver on the broken promises of the past to increase the number of state Troopers working in our communities.,"This sentence lacks objective information because it's a statement of intent and a claim about past actions (""broken promises"") that are unverifiable without further evidence. ""Delivering"" on promises is subjective and ""broken promises"" is an opinion requiring proof. It's a political pledge, not a factual assertion.","The sentence contains objective information because it refers to a *quantifiable action*: increasing the number of state troopers. While the claim of ""broken promises"" is subjective, the act of increasing a number is a verifiable event that can be checked against past statements and current trooper numbers."
I also will introduce legislation to fight gang violence and hold parents and their children accountable for juvenile criminal acts.,"This sentence lacks objective information because it expresses *intent* (""will introduce legislation"") and proposes *subjective value judgments* (""fight gang violence,"" ""hold...accountable""). The effectiveness of the legislation, the definition of ""gang violence,"" and the fairness of parental accountability are all open to interpretation and debate, making the statement unverifiable as a factual claim.","The sentence contains objective information because it states an *action* – introducing legislation. While the *content* of that legislation is subjective and open to interpretation, the act of introducing it is a verifiable event. Fact-checkers can confirm whether or not the speaker actually introduced the legislation."
"Two, we must keep dangerous criminals off Alaska's highways.","The sentence ""Two, we must keep dangerous criminals off Alaska's highways"" expresses a *value judgment* and a *policy goal*, not a verifiable fact. It outlines a desired outcome (""keep dangerous criminals off highways"") rather than presenting objective information about the current situation or past events. It's a statement of intent, not a statement of fact.","The sentence ""Two, we must keep dangerous criminals off Alaska's highways"" contains objective information because it references a concrete, measurable condition: the presence of criminals on Alaska's highways. While ""dangerous"" is subjective, the statement implies a factual situation that can be observed and potentially quantified (e.g., number of criminal incidents on highways). The call to action (""we must keep"") doesn't negate the underlying factual basis."
"Despite increased penalties, the number of drunk drivers on Alaska's roads continues to grow.","The statement ""Despite increased penalties, the number of drunk drivers on Alaska's roads continues to grow"" is not objectively verifiable. It presents an interpretation of a trend (""continues to grow"") which is subjective and lacks specific, measurable data. ""Continues to grow"" could mean a slight increase or a significant one, and without quantifiable data (e.g., percentage increase, specific numbers), it's an opinion presented as fact.","The statement ""Despite increased penalties, the number of drunk drivers on Alaska's roads continues to grow"" contains objective information because it asserts a quantifiable trend (number of drunk drivers) and a relationship to a specific policy (increased penalties). While the *interpretation* of this data might be subjective, the existence of data on drunk driving incidents and penalties is verifiable through official records and statistics."
I will introduce legislation to make a drunk driving conviction anywhere in the country count as a prior conviction here in Alaska and to reduce to zero tolerance the alcohol content for teenagers behind the wheel.,"This sentence expresses *intentions* and *proposed actions* (""I will introduce legislation""). It describes what the speaker *plans* to do, not a verifiable fact. Legislative proposals are future possibilities, not established realities. Therefore, it lacks objective, factual content.","The sentence contains objective information because it states a *future action* (""I will introduce legislation""). While the *success* of that legislation is uncertain, the act of introducing it is a verifiable event. Furthermore, the proposed content of the legislation – specifically, the legal changes regarding prior convictions and teenage alcohol tolerance – are concrete proposals that can be documented and assessed for factual consistency."
"Three, we must build safer rural communities.","The sentence ""Three, we must build safer rural communities"" expresses a goal or aspiration, not a verifiable fact. ""Safer"" is subjective and lacks quantifiable metrics; it's a value judgment about a desired outcome, not an objective statement about the current state of rural communities. It's a call to action, not a factual claim.","While aspirational, the sentence ""Three, we must build safer rural communities"" contains objective information because it references a *proposed action* – building safer rural communities. The existence of this stated goal, and the commitment to pursue it, is a verifiable fact, even if the success of that effort remains to be seen. It's a statement of intent, which is objectively present in the speech."
We need to explore how to more effectively deal with local misdemeanors in ways that are consistent with village traditions and cultures.,"This sentence lacks objective information because it expresses a proposed action (""explore how to deal with..."") and uses subjective terms (""effectively,"" ""consistent with village traditions and cultures""). ""Effectively"" is open to interpretation, and ""village traditions and cultures"" vary widely, making the statement unverifiable as a factual claim. It's a statement of intent and a value judgment, not a statement of fact.","The sentence contains objective information because it proposes an action (""explore how to deal with local misdemeanors"") and specifies a guiding principle for that action (""consistent with village traditions and cultures""). While the *implementation* of this exploration is subjective, the *existence* of local misdemeanors and the *existence* of village traditions and cultures are verifiable facts. The sentence proposes a process, not a definitive truth."
Villages must be able to control the flow of alcohol and drugs into their communities and the authority to enforce the rules.,"This statement is not fact-checkable because it expresses a *prescription* – what *should* be – rather than describing an existing state of affairs. ""Must be able to"" indicates a desired outcome or proposed policy, not a verifiable fact about current capabilities or practices. It's a statement of intent, not a statement of fact.","While aspirational, the sentence contains objective information. It asserts a *proposed* ability (""Villages must be able to control..."") and corresponding authority (""...and the authority to enforce the rules""). This implies a plan to grant villages specific powers, which, if implemented, would be a verifiable action and therefore factual. The statement itself describes a *proposed* change, not a current reality, but the proposal constitutes a concrete, checkable element."
"Four, we must keep serious criminals safely locked away.","The sentence ""Four, we must keep serious criminals safely locked away"" expresses a *value judgment* and a *policy preference*, not objective information. It doesn't state a fact about crime rates, prison effectiveness, or the current state of incarceration; it advocates for a desired outcome (""safely locked away"") which is subjective and open to interpretation.","The statement ""Four, we must keep serious criminals safely locked away"" contains objective information because it references the concept of incarceration – a verifiable action governments undertake – and implies a recognized category (""serious criminals"") subject to legal definition and action. While the *desire* to do so is subjective, the act of locking someone away and the existence of ""serious criminals"" as a legal classification are factual elements."
"Alaska is sorely in need of additional prison space, and we are exploring the most efficient way to provide it.","The sentence ""Alaska is sorely in need of additional prison space, and we are exploring the most efficient way to provide it"" lacks objective information because ""sorely in need"" is a subjective assessment (a value judgment) and ""most efficient way"" is a future-oriented, undefined goal. Needs and efficiency are not quantifiable facts.","The sentence contains objective information because it references ongoing negotiations (""we are in negotiations"") regarding a specific, verifiable detail: the potential use of a 50-bed brig at Fort Richardson. While ""sorely in need"" is subjective, the exploration of solutions and the mention of a concrete facility suggest a factual basis being addressed."
"For example, we're now in negotiations over the use of an under-used 50-bed brig at Fort Richardson and we’re looking at other existing facilities.","This sentence lacks objective information because it presents ongoing actions (""negotiations,"" ""looking"") and subjective assessments (""under-used""). The status of negotiations and the definition of ""under-used"" are not verifiable facts independent of opinion and ongoing processes. It describes a *process*, not a state of being.","This sentence contains objective information because it asserts specific, verifiable facts: (1) negotiations are underway, (2) the subject of those negotiations involves a 50-bed brig at Fort Richardson, and (3) the exploration includes examining other existing facilities. These are claims that can be confirmed or denied through investigation of ongoing negotiations and facility records, regardless of the speaker's intent or political agenda."
We also must make smarter use of prison beds through technology and the courts.Let me now turn to education.,"The sentence ""We also must make smarter use of prison beds through technology and the courts.Let me now turn to education"" expresses a *declared intention* and a transition in topic, not a verifiable fact. ""Smarter use"" is subjective and lacks specific, measurable criteria. It's a statement of policy preference, not objective information.","The sentence ""We also must make smarter use of prison beds through technology and the courts"" contains objective information because it references ongoing negotiations regarding the use of a specific resource (a 50-bed brig at Fort Richardson) and mentions the involvement of technology and the courts – all of which are verifiable actions and entities. While the *goal* of ""smarter use"" is subjective, the *fact* of the negotiations and the tools being considered are not."
"The key to meaningful, well–paying jobs is an educated workforce.","This statement is an opinion, not a fact. While a correlation likely exists between education and job prospects, declaring education *the key* to well-paying jobs is a subjective assertion, implying causation and prioritizing education above other potential factors (experience, industry, economic conditions, etc.). It's a value judgment about what's important, not an objectively verifiable truth.","While the statement contains an element of opinion (""key""), it references a demonstrable relationship: economies and employers consistently value and reward education with higher earning potential. This connection is supported by economic data and workforce trends, making it contain fact-like information rooted in observable reality, even if not universally agreed upon as the *only* key."
"Improving Alaska's public schools, from pre-school to the university, is one of my most important missions as governor.","This statement is subjective and lacks objective information. It expresses a *priority* (""one of my most important missions"") which is a matter of personal belief and political strategy, not a verifiable fact. It doesn't present data or evidence; it simply declares an intention.","While the sentence expresses a stated priority (""one of my most important missions""), the claim that improving Alaska's public schools (pre-school to university) is a goal *is* fact-checkable. It's an assertion about the speaker's intentions and policy focus, which can be verified by examining their actions and proposed legislation as governor."
"Good schools start with students ready to learn, yet too often in Alaska, that's not the case.","This statement is subjective opinion, not objective fact. While the *idea* that student readiness impacts school quality is widely accepted, the claim that ""too often in Alaska, that's not the case"" lacks specific, verifiable data. It's a value judgment about the state of Alaska's students, not a demonstrable truth.","While containing a value judgment (""good schools""), the sentence asserts an observable condition: that in Alaska, students are *not* consistently entering school ""ready to learn."" This implies a measurable gap or deficiency in student preparedness, suggesting an issue that *could* be investigated with data on student readiness assessments, health indicators, or early childhood development metrics – thus containing fact-like information."
"To reverse these trends, this administration is launching an ""Healthy Start"" program, which includes a coordinated effort at the local level to insure that all children have access to quality early care programs and that they enter school healthy, nourished and ready to learn.","This sentence lacks objective information because it describes a *proposed action* (""launching a 'Healthy Start' program"") and *desired outcomes* (""children healthy, nourished, and ready to learn""). These are goals and intentions, not verifiable facts. The claim of reversing ""trends"" is vague without specifying what those trends are and how the program will demonstrably change them.","The sentence contains objective information because it states a specific, verifiable action: the launch of an ""Healthy Start"" program. The existence of the program itself, and its stated components (coordinated local effort, early care access, focus on health/nutrition) are factual claims that can be confirmed through official announcements, program documentation, and observation."
"Class sizes continue to grow and teachers often feel undervalued and unprepared for their complex roles as caretaker, police officer and counselor.","This sentence expresses subjective observations and opinions, not objective facts. ""Feel undervalued"" and ""unprepared"" are feelings, not measurable data. While class sizes *could* be objectively measured, the sentence doesn't provide any data to support the claim that they *are* growing. It's a qualitative assessment, not a factual statement.","While containing subjective elements (""feel undervalued""), the sentence includes potentially verifiable facts. ""Class sizes continue to grow"" is a claim about a measurable trend that can be checked against enrollment data. The description of teachers' roles, while metaphorical, likely reflects real, expanding responsibilities that could be investigated through surveys or interviews. Therefore, the sentence isn't purely opinion."
"Despite pockets of excellence, too many of our students are not held to high standards and leave school without the skills to succeed in the workplace.","This sentence lacks objective information because ""too many"" and ""not held to high standards"" are subjective assessments. There's no defined threshold for ""too many"" or a universally agreed-upon definition of ""high standards"" or ""skills to succeed in the workplace."" These are value judgments, not verifiable facts.","While framed subjectively, the sentence contains potentially fact-checkable elements. ""Too many"" students leaving without workplace skills implies a measurable proportion; ""pockets of excellence"" suggests a contrast that could be quantified. These claims, if supported by data on student performance and graduation rates, represent objective information, even if the interpretation of ""high standards"" remains open to debate."
This administration will work to free local districts from regulations and mandates which restrict parents and educators from exploring innovation.,"This sentence expresses intent (""will work to free"") and subjective interpretation (""restrict parents and educators from exploring innovation""). ""Exploring innovation"" is not objectively defined, and the claim that regulations *do* restrict it is an opinion, not a verifiable fact. It's a promise of action, not a statement of existing reality.","The sentence ""This administration will work to free local districts from regulations and mandates which restrict parents and educators from exploring innovation"" contains objective information because it **states a planned action (""This administration will work to..."")**. While the *impact* of that action is subjective and debatable, the declaration of intent itself is a verifiable fact – the administration has stated this as a goal. Fact-checkers can investigate whether the administration *actually* takes steps to achieve this stated intention."
We will seek to expand access to education through technology.,"The sentence ""We will seek to expand access to education through technology"" lacks objective information because it expresses intent (""will seek"") rather than stating a verifiable fact. It's a promise of future action, not a description of a current state or a quantifiable outcome. The *how* and *extent* of this expansion are undefined, making it impossible to fact-check.","The sentence ""We will seek to expand access to education through technology"" contains objective information because it describes a *future action* (""we will seek""). While the success of this action is uncertain, the *intention* to pursue a specific policy (expanding access via technology) is a verifiable fact that can be assessed against subsequent actions. It's a statement of intent, not a claim of current reality."
"While we commit to early and full funding of education, we also must commit to funding that is fair and equitable.","This sentence lacks objective information because ""fair and equitable"" are subjective terms. What constitutes ""fair"" and ""equitable"" funding is open to interpretation and depends on individual values and perspectives, making it unverifiable through factual data. It's a statement of intent and a value judgment, not a factual claim.","The sentence contains objective information because it states a commitment to specific actions: ""early and full funding"" and ""funding that is fair and equitable."" While ""fair"" and ""equitable"" are subjective terms, the *commitment* to those qualities, and the promise of funding, are verifiable actions that can be assessed for their implementation."
There are many positive developments in Alaska’s schools that we must encourage.,"The sentence ""There are many positive developments in Alaska’s schools that we must encourage"" lacks objective information because ""positive developments"" is a subjective assessment. What constitutes a ""positive development"" is open to interpretation and depends on individual values and perspectives, making it unverifiable as a factual statement.","The sentence contains objective information because ""positive developments"" implies measurable improvements within Alaska's schools. While ""positive"" is subjective, the existence of *any* developments can be verified through data (test scores, graduation rates, program participation, etc.), making the claim about their existence fact-checkable."
"One is the ""Alaska Youth: Ready for Work"" program, in which private employers help restructure schools so that graduates have the skills necessary to compete in the workplace.","This sentence lacks objective information because ""help restructure schools"" and ""skills necessary to compete in the workplace"" are vague and subjective claims. ""Restructure"" implies a specific change, and ""compete in the workplace"" is an undefined standard of preparedness – both are open to interpretation and lack quantifiable metrics. It's a promotional statement, not a verifiable fact.","The sentence contains objective information because the existence of the ""Alaska Youth: Ready for Work"" program and its stated function (private employers assisting schools to improve graduates' workplace skills) are verifiable facts through program documentation and potentially through observation of its implementation. While the *impact* of the program is subjective, the program's existence and described activities are not."
"Sitka's Mt. Edgecombe High School prepares its students for the international marketplace by requiring at least one year of Chinese, Japanese or Russian.","This statement is subjective and lacks objective verifiability. While it *claims* Mt. Edgecombe High School prepares students for the ""international marketplace,"" this is a value judgment about the school's purpose, not a measurable fact. The claim that a language requirement *achieves* that preparation is an assertion, not a demonstrable outcome. It's an interpretation of the school's actions, not an objective truth.","This sentence contains verifiable information. The existence of Mt. Edgecombe High School in Sitka, Alaska, and its curriculum requirements (specifically, the language requirement of at least one year of Chinese, Japanese, or Russian) are claims that can be investigated through school records, curriculum documents, and potentially student/faculty interviews. While ""prepares for the international marketplace"" is subjective, the *requirement* itself is a factual detail."
